STATcube,,,,
,,,,
Age-standardized death rate in Austria by calendar week (excl. abroad) from 2000 (Q),,,,
"Calendar week by Province (NUTS 2 unit) of deceased, Gender of deceased and Values",,,,
"Counting: Number of deaths, Age-standardized death rate in parts per thousand",,,,
,,,,
Province (NUTS 2 unit) of deceased,Austria,,,
Gender of deceased,total,,,
Values,Number of deaths,Number of deaths - Annotations,Age-standardized death rate in parts per thousand,Age-standardized death rate in parts per thousand - Annotations
Calendar week,,,,
16. Calendar week 2015 (week from 13.4.2015 to 19.4.2015),1614,,0.195,
17. Calendar week 2015 (week from 20.4.2015 to 26.4.2015),1547,,0.187,
18. Calendar week 2015 (week from 27.4.2015 to 3.5.2015),1453,,0.176,
19. Calendar week 2015 (week from 4.5.2015 to 10.5.2015),1452,,0.174,
20. Calendar week 2015 (week from 11.5.2015 to 17.5.2015),1461,,0.176,
21. Calendar week 2015 (week from 18.5.2015 to 24.5.2015),1396,,0.169,
22. Calendar week 2015 (week from 25.5.2015 to 31.5.2015),1304,,0.156,
23. Calendar week 2015 (week from 1.6.2015 to 7.6.2015),1437,,0.173,
24. Calendar week 2015 (week from 8.6.2015 to 14.6.2015),1502,,0.182,
25. Calendar week 2015 (week from 15.6.2015 to 21.6.2015),1285,,0.156,
26. Calendar week 2015 (week from 22.6.2015 to 28.6.2015),1374,,0.166,
27. Calendar week 2015 (week from 29.6.2015 to 5.7.2015),1487,,0.18,
28. Calendar week 2015 (week from 6.7.2015 to 12.7.2015),1476,,0.178,
29. Calendar week 2015 (week from 13.7.2015 to 19.7.2015),1475,,0.177,
30. Calendar week 2015 (week from 20.7.2015 to 26.7.2015),1633,,0.197,
31. Calendar week 2015 (week from 27.7.2015 to 2.8.2015),1446,,0.174,
32. Calendar week 2015 (week from 3.8.2015 to 9.8.2015),1500,,0.18,
33. Calendar week 2015 (week from 10.8.2015 to 16.8.2015),1692,,0.204,
34. Calendar week 2015 (week from 17.8.2015 to 23.8.2015),1376,,0.166,
35. Calendar week 2015 (week from 24.8.2015 to 30.8.2015),1476,,0.178,
36. Calendar week 2015 (week from 31.8.2015 to 6.9.2015),1389,,0.168,
37. Calendar week 2015 (week from 7.9.2015 to 13.9.2015),1447,,0.174,
38. Calendar week 2015 (week from 14.9.2015 to 20.9.2015),1459,,0.176,
39. Calendar week 2015 (week from 21.9.2015 to 27.9.2015),1410,,0.171,
40. Calendar week 2015 (week from 28.9.2015 to 4.10.2015),1494,,0.181,
41. Calendar week 2015 (week from 5.10.2015 to 11.10.2015),1409,,0.17,
42. Calendar week 2015 (week from 12.10.2015 to 18.10.2015),1481,,0.18,
43. Calendar week 2015 (week from 19.10.2015 to 25.10.2015),1498,,0.182,
44. Calendar week 2015 (week from 26.10.2015 to 1.11.2015),1433,,0.172,
45. Calendar week 2015 (week from 2.11.2015 to 8.11.2015),1460,,0.176,
46. Calendar week 2015 (week from 9.11.2015 to 15.11.2015),1527,,0.185,
47. Calendar week 2015 (week from 16.11.2015 to 22.11.2015),1486,,0.18,
48. Calendar week 2015 (week from 23.11.2015 to 29.11.2015),1488,,0.18,
49. Calendar week 2015 (week from 30.11.2015 to 6.12.2015),1509,,0.184,
50. Calendar week 2015 (week from 7.12.2015 to 13.12.2015),1517,,0.184,
51. Calendar week 2015 (week from 14.12.2015 to 20.12.2015),1538,,0.187,
52. Calendar week 2015 (week from 21.12.2015 to 27.12.2015),1545,,0.188,
53. Calendar week 2015 (week from 28.12.2015 to 3.1.2016),1537,,0.186,
1. Calendar week 2017 (week from 2.1.2017 to 8.1.2017),2293,,0.267,
2. Calendar week 2017 (week from 9.1.2017 to 15.1.2017),2340,,0.273,
3. Calendar week 2017 (week from 16.1.2017 to 22.1.2017),2060,,0.24,
4. Calendar week 2017 (week from 23.1.2017 to 29.1.2017),1938,,0.226,
5. Calendar week 2017 (week from 30.1.2017 to 5.2.2017),2045,,0.238,
6. Calendar week 2017 (week from 6.2.2017 to 12.2.2017),1874,,0.218,
7. Calendar week 2017 (week from 13.2.2017 to 19.2.2017),1750,,0.203,
8. Calendar week 2017 (week from 20.2.2017 to 26.2.2017),1807,,0.21,
9. Calendar week 2017 (week from 27.2.2017 to 5.3.2017),1696,,0.198,
10. Calendar week 2017 (week from 6.3.2017 to 12.3.2017),1614,,0.187,
11. Calendar week 2017 (week from 13.3.2017 to 19.3.2017),1542,,0.179,
12. Calendar week 2017 (week from 20.3.2017 to 26.3.2017),1535,,0.178,
13. Calendar week 2017 (week from 27.3.2017 to 2.4.2017),1489,,0.173,
14. Calendar week 2017 (week from 3.4.2017 to 9.4.2017),1537,,0.178,
15. Calendar week 2017 (week from 10.4.2017 to 16.4.2017),1532,,0.177,
16. Calendar week 2017 (week from 17.4.2017 to 23.4.2017),1475,,0.171,
17. Calendar week 2017 (week from 24.4.2017 to 30.4.2017),1440,,0.168,
18. Calendar week 2017 (week from 1.5.2017 to 7.5.2017),1527,,0.177,
19. Calendar week 2017 (week from 8.5.2017 to 14.5.2017),1434,,0.167,
20. Calendar week 2017 (week from 15.5.2017 to 21.5.2017),1501,,0.174,
21. Calendar week 2017 (week from 22.5.2017 to 28.5.2017),1327,,0.154,
22. Calendar week 2017 (week from 29.5.2017 to 4.6.2017),1456,,0.168,
23. Calendar week 2017 (week from 5.6.2017 to 11.6.2017),1312,,0.152,
24. Calendar week 2017 (week from 12.6.2017 to 18.6.2017),1421,,0.166,
25. Calendar week 2017 (week from 19.6.2017 to 25.6.2017),1476,,0.172,
26. Calendar week 2017 (week from 26.6.2017 to 2.7.2017),1419,,0.164,
27. Calendar week 2017 (week from 3.7.2017 to 9.7.2017),1413,,0.163,
28. Calendar week 2017 (week from 10.7.2017 to 16.7.2017),1346,,0.157,
29. Calendar week 2017 (week from 17.7.2017 to 23.7.2017),1475,,0.171,
30. Calendar week 2017 (week from 24.7.2017 to 30.7.2017),1375,,0.16,
