Date,Date_mod,deaths
2015M12D08,2015-12-08,152
2015M12D09,2015-12-09,133
2015M12D10,2015-12-10,166
2015M12D11,2015-12-11,164
2015M12D12,2015-12-12,144
2015M12D13,2015-12-13,139
2015M12D14,2015-12-14,155
2015M12D15,2015-12-15,141
2015M12D16,2015-12-16,134
2015M12D17,2015-12-17,152
2015M12D18,2015-12-18,166
2015M12D19,2015-12-19,151
2015M12D20,2015-12-20,125
2015M12D21,2015-12-21,137
2015M12D22,2015-12-22,148
2015M12D23,2015-12-23,154
2015M12D24,2015-12-24,144
2015M12D25,2015-12-25,129
2015M12D26,2015-12-26,130
2015M12D27,2015-12-27,152
2015M12D28,2015-12-28,108
2015M12D29,2015-12-29,149
2015M12D30,2015-12-30,170
2015M12D31,2015-12-31,158
2016M01D01,2016-01-01,139
2016M01D02,2016-01-02,133
2016M01D03,2016-01-03,129
2016M01D04,2016-01-04,143
2016M01D05,2016-01-05,160
2016M01D06,2016-01-06,161
2016M01D07,2016-01-07,145
2016M01D08,2016-01-08,173
2016M01D09,2016-01-09,165
2016M01D10,2016-01-10,156
2016M01D11,2016-01-11,149
2016M01D12,2016-01-12,164
2016M01D13,2016-01-13,140
2016M01D14,2016-01-14,153
2016M01D15,2016-01-15,160
2016M01D16,2016-01-16,144
2016M01D17,2016-01-17,155
2016M01D18,2016-01-18,126
2016M01D19,2016-01-19,156
2016M01D20,2016-01-20,146
2016M01D21,2016-01-21,152
2016M01D22,2016-01-22,164
2016M01D23,2016-01-23,155
2016M01D24,2016-01-24,147
2016M01D25,2016-01-25,162
2016M01D26,2016-01-26,156
2016M01D27,2016-01-27,159
2016M01D28,2016-01-28,187
2016M01D29,2016-01-29,152
2016M01D30,2016-01-30,145
2016M01D31,2016-01-31,163
2016M02D01,2016-02-01,175
2016M02D02,2016-02-02,161
2016M02D03,2016-02-03,141
2016M02D04,2016-02-04,142
2016M02D05,2016-02-05,143
2016M02D06,2016-02-06,171
2016M02D07,2016-02-07,150
2016M02D08,2016-02-08,155
2016M02D09,2016-02-09,146
2016M02D10,2016-02-10,152
2016M02D11,2016-02-11,151
2016M02D12,2016-02-12,154
2016M02D13,2016-02-13,139
2016M02D14,2016-02-14,143
2016M02D15,2016-02-15,136
2016M02D16,2016-02-16,151
2016M02D17,2016-02-17,161
2016M02D18,2016-02-18,146
2016M02D19,2016-02-19,167
2016M02D20,2016-02-20,160
2016M02D21,2016-02-21,141
2016M02D22,2016-02-22,148
2016M02D23,2016-02-23,143
2016M02D24,2016-02-24,157
2016M02D25,2016-02-25,150
2016M02D26,2016-02-26,176
